box,row,column,fruit,nb_eggs,proportion,date,obs
1,1,1,Apricot,0,0,19/04/2017,NL
1,1,2,Blackberry,10,0.08,19/04/2017,NL
1,1,3,Cherry,27,0.216,19/04/2017,NL
1,1,4,Tomato,16,0.128,19/04/2017,NL
1,2,1,Fig,8,0.064,19/04/2017,NL
1,2,2,Raspberry,10,0.08,19/04/2017,NL
1,2,3,Cranberry,18,0.144,19/04/2017,NL
1,2,4,Grape,1,0.008,19/04/2017,NL
1,3,1,Kiwi,14,0.112,19/04/2017,NL
1,3,2,Blackcurrant,8,0.064,19/04/2017,NL
1,3,3,Strawberry,12,0.096,19/04/2017,NL
1,3,4,Rosehips,1,0.008,19/04/2017,NL
2,1,1,Blackcurrant,32,0.256,21/04/2017,LO
2,1,2,Blackberry,49,0.169550173,21/04/2017,LO
2,1,3,Cranberry,10,0.034602076,21/04/2017,LO
2,1,4,Rosehips,4,0.01384083,21/04/2017,LO
2,2,1,Kiwi,26,0.089965398,21/04/2017,LO
2,2,2,Tomato,21,0.07266436,21/04/2017,LO
2,2,3,Cherry,41,0.141868512,21/04/2017,LO
2,2,4,Grape,24,0.083044983,21/04/2017,LO
2,3,1,Raspberry,17,0.058823529,21/04/2017,LO
2,3,2,Strawberry,9,0.031141869,21/04/2017,LO
2,3,3,Fig,54,0.186851211,21/04/2017,LO
2,3,4,Apricot,2,0.006920415,21/04/2017,LO
3,1,1,Blackcurrant,28,0.145833333,21/04/2017,LO
3,1,2,Apricot,4,0.020833333,21/04/2017,LO
3,1,3,Rosehips,2,0.010416667,21/04/2017,LO
3,1,4,Fig,9,0.046875,21/04/2017,LO
3,2,1,Tomato,11,0.057291667,21/04/2017,LO
3,2,2,Cherry,26,0.135416667,21/04/2017,LO
3,2,3,Raspberry,1,0.005208333,21/04/2017,LO
3,2,4,Cranberry,6,0.03125,21/04/2017,LO
3,3,1,Strawberry,2,0.010416667,21/04/2017,LO
3,3,2,Blackberry,64,0.333333333,21/04/2017,LO
3,3,3,Kiwi,2,0.010416667,21/04/2017,LO
3,3,4,Grape,37,0.192708333,21/04/2017,LO
4,1,1,Raspberry,4,0.028368794,21/04/2017,LO
4,1,2,Strawberry,5,0.035460993,21/04/2017,LO
4,1,3,Cherry,5,0.035460993,21/04/2017,LO
4,1,4,Kiwi,1,0.007092199,21/04/2017,LO
4,2,1,Rosehips,1,0.007092199,21/04/2017,LO
4,2,2,Blackcurrant,28,0.19858156,21/04/2017,LO
4,2,3,Fig,14,0.09929078,21/04/2017,LO
4,2,4,Grape,23,0.163120567,21/04/2017,LO
4,3,1,Blackberry,42,0.29787234,21/04/2017,LO
4,3,2,Tomato,13,0.092198582,21/04/2017,LO
