boite,ligne,colonne,concentration,date_ponte,data_comptage,entree1,entree2,nb_oeufs,compteur,test
P1,1,1,"1,2",16/08/19,19/08/19,0,0,0,JL,OK
P1,1,2,"0,15",16/08/19,19/08/19,0,0,0,JL,OK
P1,1,3,0,16/08/19,19/08/19,0,0,0,JL,OK
P1,1,4,"1,65",16/08/19,19/08/19,0,0,0,JL,OK
P1,2,1,"0,9",16/08/19,19/08/19,1,1,1,JL,OK
P1,2,2,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
P1,2,3,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P1,2,4,"1,35",16/08/19,19/08/19,0,0,0,JL,OK
P1,3,1,"1,5",16/08/19,19/08/19,5,5,5,JL,OK
P1,3,2,"0,45",16/08/19,19/08/19,8,8,8,JL,OK
P1,3,3,"0,6",16/08/19,19/08/19,0,0,0,JL,OK
P1,3,4,"0,3",16/08/19,19/08/19,7,7,7,JL,OK
P2,1,1,"0,6",16/08/19,20/08/19,1,1,1,JL,OK
P2,1,2,"0,3",16/08/19,20/08/19,6,6,6,JL,OK
P2,1,3,"0,75",16/08/19,20/08/19,2,2,2,JL,OK
P2,1,4,"0,45",16/08/19,20/08/19,9,9,9,JL,OK
P2,2,1,"0,9",16/08/19,20/08/19,13,13,13,JL,OK
P2,2,2,"1,5",16/08/19,20/08/19,0,0,0,JL,OK
P2,2,3,"1,35",16/08/19,20/08/19,0,0,0,JL,OK
P2,2,4,0,16/08/19,20/08/19,0,0,0,JL,OK
P2,3,1,"1,2",16/08/19,20/08/19,1,1,1,JL,OK
P2,3,2,"0,15",16/08/19,20/08/19,7,7,7,JL,OK
P2,3,3,"1,05",16/08/19,20/08/19,1,1,1,JL,OK
P2,3,4,"1,65",16/08/19,20/08/19,8,8,8,JL,OK
P3,1,1,"1,05",16/08/19,20/08/19,1,1,1,JL,OK
P3,1,2,"0,6",16/08/19,20/08/19,0,0,0,JL,OK
P3,1,3,"0,75",16/08/19,20/08/19,0,0,0,JL,OK
P3,1,4,"0,15",16/08/19,20/08/19,0,0,0,JL,OK
P3,2,1,"0,9",16/08/19,20/08/19,0,0,0,JL,OK
P3,2,2,"0,3",16/08/19,20/08/19,1,1,1,JL,OK
P3,2,3,"1,5",16/08/19,20/08/19,0,0,0,JL,OK
P3,2,4,"0,45",16/08/19,20/08/19,0,0,0,JL,OK
P3,3,1,"1,2",16/08/19,20/08/19,10,10,10,JL,OK
P3,3,2,"1,35",16/08/19,20/08/19,6,6,6,JL,OK
P3,3,3,"1,65",16/08/19,20/08/19,0,0,0,JL,OK
P3,3,4,0,16/08/19,20/08/19,0,0,0,JL,OK
P4,1,1,0,16/08/19,19/08/19,35,35,35,JL,OK
P4,1,2,"0,45",16/08/19,19/08/19,0,0,0,JL,OK
P4,1,3,"0,6",16/08/19,19/08/19,0,0,0,JL,OK
P4,1,4,"1,65",16/08/19,19/08/19,0,0,0,JL,OK
P4,2,1,"1,2",16/08/19,19/08/19,1,1,1,JL,OK
P4,2,2,"1,5",16/08/19,19/08/19,0,0,0,JL,OK
P4,2,3,"1,05",16/08/19,19/08/19,2,2,2,JL,OK
P4,2,4,"0,9",16/08/19,19/08/19,0,0,0,JL,OK
P4,3,1,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P4,3,2,"0,3",16/08/19,19/08/19,13,13,13,JL,OK
P4,3,3,"0,15",16/08/19,19/08/19,0,0,0,JL,OK
P4,3,4,"1,35",16/08/19,19/08/19,0,0,0,JL,OK
P5,1,1,"1,2",16/08/19,20/08/19,0,0,0,JL,OK
P5,1,2,"0,15",16/08/19,20/08/19,2,2,2,JL,OK
P5,1,3,"0,9",16/08/19,20/08/19,0,0,0,JL,OK
P5,1,4,"1,5",16/08/19,20/08/19,3,3,3,JL,OK
P5,2,1,0,16/08/19,20/08/19,0,0,0,JL,OK
P5,2,2,"0,45",16/08/19,20/08/19,12,12,12,JL,OK
P5,2,3,"1,35",16/08/19,20/08/19,0,0,0,JL,OK
P5,2,4,"0,75",16/08/19,20/08/19,0,0,0,JL,OK
P5,3,1,"1,05",16/08/19,20/08/19,9,9,9,JL,OK
P5,3,2,"1,65",16/08/19,20/08/19,1,1,1,JL,OK
P5,3,3,"0,3",16/08/19,20/08/19,1,1,1,JL,OK
P5,3,4,"0,6",16/08/19,20/08/19,8,8,8,JL,OK
P6,1,1,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
P6,1,2,"1,2",16/08/19,19/08/19,0,0,0,JL,OK
P6,1,3,0,16/08/19,19/08/19,4,4,4,JL,OK
